# bench_reg_latency seed=42 n_iters=30 n_cases=2 n_sizes=7
mode,requested_size,actual_addr_arg,actual_length_arg,access_flags,median_ns,p95_ns,p99_ns,min_ns,max_ns,fail_count,errno,rss_before_kb,rss_after_kb
explicit,4096,non-null,4096,LOCAL_WRITE,6875,49747,50831,958,50914,0,0,3028,3036
explicit,65536,non-null,65536,LOCAL_WRITE,12708,39082,71872,1709,262446,0,0,3028,3096
explicit,1048576,non-null,1048576,LOCAL_WRITE,23790,56789,76955,7999,114911,0,0,3028,4056
explicit,16777216,non-null,16777216,LOCAL_WRITE,70371,145284,182158,42748,193532,0,0,3028,19416
explicit,67108864,non-null,67108864,LOCAL_WRITE,880166,3700530,8578146,165326,11424344,0,0,3028,68568
explicit,268435456,non-null,268435456,LOCAL_WRITE,1399472,6187205,7025965,675968,8240200,0,0,3028,265176
explicit,1073741824,non-null,1073741824,LOCAL_WRITE,0,0,0,0,0,30,12,3028,0
implicit,4096,NULL,SIZE_MAX,ON_DEMAND|LOCAL_WRITE,2500,28082,28123,666,53872,0,0,3028,3032
implicit,65536,NULL,SIZE_MAX,ON_DEMAND|LOCAL_WRITE,2000,27040,39707,709,52831,0,0,3028,3032
implicit,1048576,NULL,SIZE_MAX,ON_DEMAND|LOCAL_WRITE,3166,18625,21499,791,21832,0,0,3028,3032
implicit,16777216,NULL,SIZE_MAX,ON_DEMAND|LOCAL_WRITE,1542,12416,14416,666,33456,0,0,3028,3032
implicit,67108864,NULL,SIZE_MAX,ON_DEMAND|LOCAL_WRITE,2166,19665,21624,750,61080,0,0,3028,3032
implicit,268435456,NULL,SIZE_MAX,ON_DEMAND|LOCAL_WRITE,2250,31874,37623,667,41664,0,0,3028,3032
implicit,1073741824,NULL,SIZE_MAX,ON_DEMAND|LOCAL_WRITE,6791,37206,39289,666,127952,0,0,3028,3032
