mode,size_bytes,iter,latency_ns
explicit_nothp,4096,0,2876
explicit_nothp,4096,1,2042
explicit_nothp,4096,2,14501
explicit_nothp,4096,3,2625
explicit_nothp,4096,4,13126
explicit_nothp,65536,0,2876
explicit_nothp,65536,1,3041
explicit_nothp,65536,2,2709
explicit_nothp,65536,3,7168
explicit_nothp,65536,4,1875
explicit_nothp,1048576,0,12168
explicit_nothp,1048576,1,13751
explicit_nothp,1048576,2,9084
explicit_nothp,1048576,3,9418
explicit_nothp,1048576,4,14251
explicit_nothp,16777216,0,152220
explicit_nothp,16777216,1,174055
explicit_nothp,16777216,2,114717
explicit_nothp,16777216,3,644383
explicit_nothp,16777216,4,128635
explicit_nothp,67108864,0,1039704
explicit_nothp,67108864,1,2357972
explicit_nothp,67108864,2,735764
explicit_nothp,67108864,3,497496
explicit_nothp,67108864,4,1071249
explicit_nothp,268435456,0,7239639
explicit_nothp,268435456,1,4960047
explicit_nothp,268435456,2,1865268
explicit_nothp,268435456,3,2884263
explicit_nothp,268435456,4,5293947
