# bench_reg_latency seed=42 n_iters=30 n_cases=2 n_sizes=7
mode,requested_size,actual_addr_arg,actual_length_arg,access_flags,median_ns,p95_ns,p99_ns,min_ns,max_ns,fail_count,errno,rss_before_kb,rss_after_kb
explicit,4096,non-null,4096,LOCAL_WRITE,6623,18661,32906,1499,90514,0,0,3032,3040
explicit,65536,non-null,65536,LOCAL_WRITE,2958,23909,27450,1749,36947,0,0,3032,3100
explicit,1048576,non-null,1048576,LOCAL_WRITE,15037,26034,34906,7956,60440,0,0,3032,4060
explicit,16777216,non-null,16777216,LOCAL_WRITE,26617,52776,170698,19744,206812,0,0,3032,19420
explicit,67108864,non-null,67108864,LOCAL_WRITE,80476,152412,160701,71978,165034,0,0,3032,68572
explicit,268435456,non-null,268435456,LOCAL_WRITE,310447,608402,665841,284249,815129,0,0,3032,265180
explicit,1073741824,non-null,1073741824,LOCAL_WRITE,0,0,0,0,0,30,12,3032,0
implicit,4096,NULL,SIZE_MAX,ON_DEMAND|LOCAL_WRITE,3458,13538,19994,1041,91181,0,0,3032,3036
implicit,65536,NULL,SIZE_MAX,ON_DEMAND|LOCAL_WRITE,2041,11080,11247,1000,39113,0,0,3032,3036
implicit,1048576,NULL,SIZE_MAX,ON_DEMAND|LOCAL_WRITE,5540,22119,25742,750,32948,0,0,3032,3036
implicit,16777216,NULL,SIZE_MAX,ON_DEMAND|LOCAL_WRITE,5081,10372,11747,1042,13954,0,0,3032,3036
implicit,67108864,NULL,SIZE_MAX,ON_DEMAND|LOCAL_WRITE,4957,17370,17703,999,22743,0,0,3032,3036
implicit,268435456,NULL,SIZE_MAX,ON_DEMAND|LOCAL_WRITE,4582,19535,24160,1000,32074,0,0,3032,3036
implicit,1073741824,NULL,SIZE_MAX,ON_DEMAND|LOCAL_WRITE,1833,7164,10205,958,11163,0,0,3032,3036
